model,SMAPE_overall,W234,W247,W7,W27,W30,W31,W237,W6,W56,W243
Auto.Theta,11.48,8.32,3.77,16.27,15.34,9.67,13.73,10.67,16.26,10.93,9.81
lags+seas+fourier,16.79,12.03,8.59,17.41,18.01,11.97,18.62,12.26,31.44,23.04,14.53
lags+seas+cal,17.49,11.76,9.6,19.14,18.92,14.76,18.43,13.02,33.24,18.99,17.01
lags+fourier,17.54,9.71,7.94,18.96,17.87,18.37,14.25,9.77,30.69,33.81,14.05
lags+seas,18.19,11.65,10.1,19.15,19.95,13.29,20.56,14.05,35.26,19.64,18.23
lags+calendar,18.93,11.49,10.03,23.06,18.49,22.89,15.89,12.07,35.75,20.79,18.86
Seasonal Naive,19.84,16.35,20.01,21.46,23.11,13.98,18.53,18.06,24.39,20.25,22.31
Auto.ETS,22.33,11.43,7.42,20.4,22.61,18.97,15.05,16.65,55.38,36.6,18.75
lags,24.8,14.08,12.68,27.1,24.56,31.53,25.04,14.61,47.91,22.25,28.29
Naive,26.78,12.25,7.42,40.13,32.17,23.58,25.69,16.3,55.52,33.46,21.27
pure catboost,32.96,23.26,26.12,25.26,26.07,28.74,37.55,28.52,61.41,23.92,48.73
